,min(er_t),E[er_t]
DCC_garch,-3.922,-0.7447
DCC_gjr,-3.66,-0.684
KNN5_pearson_garch,-3.672,-0.3249
KNN5_pearson_gjr,-3.807,-0.621
KNN5_kendall_garch,-4.005,-0.3459
KNN5_kendall_gjr,-4.132,-0.2994
KNN100_pearson_garch,-3.604,-0.6407
KNN100_pearson_gjr,-3.732,-0.9253
KNN_idw_pearson_garch,-3.933,-0.1913
KNN_idw_pearson_gjr,-4.044,-0.4769
KNN_idw_kendall_garch,-4.418,-0.3828
KNN_idw_kendall_gjr,-4.515,-0.5454
RF10_pearson_garch,-3.69,-0.4632
RF10_pearson_gjr,-3.822,-0.5804
RF10_kendall_garch,-4.395,-0.3377
RF10_kendall_gjr,-4.501,-0.2881
RF100_pearson_garch,-3.88,-0.904
RF100_pearson_gjr,-4.001,-0.8901
RF100_kendall_garch,-4.23,-0.3161
RF100_kendall_gjr,-4.339,-0.3463